Date,Open,Adj Close
2020-03-01,6.12,6.12
2020-03-02,6.12,7.85
2020-03-03,7.85,7.2
2020-03-04,7.2,7.2
2020-03-05,7.2,7.2
2020-03-06,7.2,5.47
2020-03-07,5.47,5.17
2020-03-08,5.17,7.6
2020-03-09,7.6,6.8
2020-03-10,6.8,7.12
2020-03-11,7.12,7.12
2020-03-12,7.12,7.12
2020-03-13,7.12,7.5
2020-03-14,7.5,5.64
2020-03-15,5.64,5.55
2020-03-16,5.55,5.55
2020-03-17,5.55,5.91
2020-03-18,5.91,5.91
2020-03-19,5.91,5.91
2020-03-20,5.91,5.87
2020-03-21,5.87,6.84
2020-03-22,6.84,5.42
2020-03-23,5.42,5.88
2020-03-24,5.88,6.1
2020-03-25,6.1,6.1
2020-03-26,6.1,6.1
2020-03-27,6.1,5.6
2020-03-28,5.6,6.54
2020-03-29,6.54,6.78
2020-03-30,6.78,5.14
2020-03-31,5.14,6.82
